cty,municipality,repubican,democrat,blank ,tbc
WAS,Wesley,71,15,12,98
WAS,Whiting,260,113,15,388
WAS,Whitneyville,69,44,5,118
,STATE UOCAVA,62,171,16,249
HAN,Bar Harbor,842,2690,126,3658
HAN,Blue Hill,665,1331,72,2068
HAN,Brooklin,210,427,17,654
HAN,Brooksville,245,420,25,690
HAN,Castine,166,370,16,552
HAN,Cranberry Isles,29,97,5,131
HAN,Deer Isle,587,719,55,1361
HAN,Ellsworth,2162,2617,185,4964
HAN,Frenchboro,13,14,4,31
HAN,Lamoine,534,676,30,1240
HAN,Mount Desert,339,1031,42,1412
HAN,Orland,782,715,62,1559
HAN,Penobscot,378,450,18,846
HAN,Sedgwick,335,514,29,878
HAN,Southwest Harbor,357,753,38,1148
HAN,Stonington,246,356,45,647
HAN,Surry,502,623,43,1168
HAN,Swans Island,151,134,9,294
HAN,Tremont,392,616,52,1060
HAN,Trenton,421,580,29,1030
HAN,Verona Island,202,146,20,368
KNO,Isle Au Haut,17,42,5,64
,STATE UOCAVA,31,371,17,419
PEN,Alton,319,196,29,544
PEN,Burlington,171,64,14,249
PEN,Carroll Plt,61,20,5,86
PEN,Edinburg/Argyle Twp,79,40,5,124
PEN,Enfield,576,309,27,912
PEN,Greenbush,488,212,49,749
PEN,Howland,375,267,49,691
PEN,Lagrange,226,111,19,356
PEN,Lakeville,41,36,7,84
PEN,Lee,380,141,26,547
PEN,Lincoln,1679,862,288,2829
PEN,Lowell,176,78,18,272
PEN,Milford/Greenfield Twp,979,847,83,1909
PEN,Old Town/Argyle Twp,1623,2398,140,4161
PEN,Orono,1768,3477,226,5471
PEN,Passadumkeag,163,64,17,244
PEN,Penobscot Nation Voting District/Argyle Twp,65,235,27,327
PEN,Prentiss Twp,63,25,15,103
PEN,Springfield,128,43,17,188
PEN,Veazie,546,625,25,1196
PEN,Webster Plt,27,12,4,43
PEN,Winn,144,57,16,217
,STATE UOCAVA,31,121,7,159
PEN,Bangor,5702,9886,510,16098
PEN,Hermon,2470,1591,95,4156
,STATE UOCAVA,24,124,10,158
HAN,Bucksport,1424,1323,208,2955
HAN,Dedham,604,553,43,1200
HAN,Otis,334,148,26,508
PEN,Bradley,500,418,38,956
PEN,Brewer,2466,2669,242,5377
PEN,Carmel,1192,504,151,1847
PEN,Clifton,326,195,23,544
PEN,Eddington,908,519,74,1501
PEN,Hampden,2982,2021,138,5141
PEN,Holden,1142,836,169,2147
PEN,Newburgh,724,309,37,1070
PEN,Orrington,1456,1079,139,2674
,STATE UOCAVA,37,102,9,148
WAL,Belfast,1051,3047,159,4257
WAL,Belmont,280,309,30,619
WAL,Brooks,317,289,21,627
WAL,Burnham,416,229,32,677
WAL,Frankfort,422,261,31,714
WAL,Freedom,213,240,36,489
WAL,Islesboro,115,328,19,462
WAL,Jackson,185,154,17,356
WAL,Knox,289,175,25,489
WAL,Liberty,304,312,20,636
WAL,Lincolnville,539,1161,82,1782
WAL,Monroe,259,338,25,622
WAL,Montville,280,386,26,692
WAL,Morrill,322,281,31,634
WAL,Northport,373,729,37,1139
WAL,Palermo,575,438,50,1063
WAL,Prospect,241,193,20,454
WAL,Searsmont,443,482,51,976
WAL,Searsport,733,931,62,1726
WAL,Stockton Springs,517,598,58,1173
WAL,Swanville,418,449,36,903
WAL,Thorndike,204,241,22,467
WAL,Troy,305,250,30,585
WAL,Unity,464,462,46,972
WAL,Waldo,221,278,17,516
WAL,Winterport,1270,1038,98,2406
,STATE UOCAVA,19,162,9,190
KNO,Appleton,429,470,35,934
KNO,Camden,908,2655,124,3687
KNO,Cushing,550,450,42,1042
KNO,Friendship,516,296,36,848
KNO,Hope,481,630,37,1148
KNO,Matinicus Isle Plt,13,31,4,48
KNO,North Haven,83,191,33,307
KNO,Owls Head,500,586,32,1118
KNO,Rockland,1241,2550,151,3942
KNO,Rockport,855,1587,100,2542
KNO,South Thomaston,438,596,46,1080
KNO,St. George,733,1023,91,1847
KNO,Thomaston,666,901,57,1624
KNO,Union,875,742,68,1685
KNO,Vinalhaven,323,445,59,827
KNO,Warren,1337,969,117,2423
,STATE UOCAVA,31,222,16,269
KEN,Windsor,1002,496,89,1587
KNO,Washington,548,441,63,1052
LIN,Alna,186,347,8,541
LIN,Boothbay,960,1177,90,2227
LIN,Boothbay Harbor,586,763,73,1422
LIN,Bremen,171,413,27,611
LIN,Bristol/Louds Island Twp,730,1426,37,2193
LIN,Damariscotta,438,1043,36,1517
LIN,Edgecomb,334,532,23,889
LIN,Jefferson,912,788,87,1787
LIN,Monhegan Island Plt,8,54,3,65
LIN,Newcastle,396,968,28,1392
LIN,Nobleboro,584,747,37,1368
LIN,Somerville,208,131,27,366
LIN,South Bristol,256,460,20,736
LIN,Southport,171,280,21,472
LIN,Waldoboro,1536,1436,87,3059
LIN,Westport Island,234,317,17,568
LIN,Whitefield,762,684,51,1497
LIN,Wiscasset,1092,1158,134,2384
,STATE UOCAVA,29,235,7,271
KEN,Chelsea,889,658,63,1610
KEN,Farmingdale,803,917,135,1855
KEN,Gardiner,1430,1796,161,3387
KEN,Hallowell,459,1309,65,1833
KEN,Manchester,859,807,53,1719
KEN,Monmouth,1389,1149,102,2640
KEN,Pittston,1015,780,53,1848
KEN,Randolph,504,479,51,1034
KEN,Readfield,804,992,42,1838
KEN,Wayne,354,503,21,878
KEN,West Gardiner,1325,1097,80,2502
KEN,Winthrop,1623,2155,175,3953
,STATE UOCAVA,37,121,4,162
KEN,Augusta,4105,5659,348,10112
KEN,Belgrade,1184,1008,89,2281
KEN,China,1480,1042,134,2656
KEN,Mount Vernon,569,582,43,1194
KEN,Sidney,1883,1220,90,3193
KEN,Vassalboro,1575,1026,106,2707
,STATE UOCAVA,24,84,8,116
KEN,Albion,945,289,39,1273
KEN,Oakland,2081,1503,177,3761
KEN,Waterville,2814,4412,288,7514
KEN,Winslow,2855,1753,142,4750
SOM,Fairfield,2087,1254,136,3477
,STATE UOCAVA,24,94,11,129
AND,Greene,1875,682,139,2696
AND,Leeds,1038,359,54,1451
AND,Lisbon,2776,2090,328,5194
AND,Livermore,980,407,54,1441
AND,Livermore Falls,981,403,58,1442
AND,Sabattus,1770,921,372,3063
AND,Turner,2680,836,155,3671
AND,Wales,700,222,65,987
KEN,Fayette,496,350,35,881
KEN,Litchfield,1434,731,164,2329
,STATE UOCAVA,21,4,0,25
AND,Mechanic Falls,1160,556,101,1817
AND,Minot,1155,534,178,1867
CUM,Bridgton,1863,1523,232,3618
CUM,Harrison,1022,621,60,1703
OXF,Brownfield,557,389,95,1041
OXF,Denmark,463,318,57,838
OXF,Fryeburg,1024,834,226,2084
OXF,Hebron,540,224,46,810
OXF,Norway,1930,1022,128,3080
OXF,Otisfield,816,373,57,1246
OXF,Oxford,1843,518,113,2474
OXF,Paris,1990,848,136,2974
OXF,Sweden,138,135,14,287
